Country|SourceCustomerType|SourceCustomerName|SourceCustomerCode|SourceCustomerIsDirect|SourceCustomerDiageoSAPCode|WarehouseName|WarehouseCode|OutletCode|OutletDiageoEdgeCode|OutletName|OutletAddress|City|Region|LocalSegment1|LocalSegment2|LocalSegment3|LocalSegment4|OutletChannel|OutletStatus|ProductCode|ProductDiageoSAPCode|ProductName|ProductVolume|PackagingConfiguration|PackType|Date|Stock Type|StockQuantity|UnitOfMeasure|VolumeBottle|VolumeActualCase|VolumeLitre|VolumeEquivalentUnits|TotalAmount|CurrencyCode
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111943|""|TALISKER 8YO - 2024 SPECIAL RELEASE 750|""|""|""|2026-02-28|OnHand|1|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111945|""|BENRINNES 21YO - 2024 SPECIAL RELEASE 750|""|""|""|2026-02-28|OnHand|6|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111946|""|ROSEISLE 12YO - 2024 SPECIAL RELEASE 750|""|""|""|2026-02-28|OnHand|57|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111949|""|SINGLETON OF GLEN ORD 14YO - 2024 SR 750|""|""|""|2026-02-28|OnHand|1|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111950|""|LAGAVULIN 12YO - 2024 SPECIAL RELEASE 750|""|""|""|2026-02-28|OnHand|29|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111952|""|CROWN ROYAL RESERVE 12 YO 750|""|""|""|2026-02-28|OnHand|349|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|112305|""|JOHNNIE WALKER BLUE LABEL ICE CHALET 750|""|""|""|2026-02-28|OnHand|9|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|112307|""|JOHNNIE WALKER BLACK LABEL - SQUID GAMES 750|""|""|""|2026-02-28|OnHand|37|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|112896|""|JOHNNIE WALKER RED LABEL 1750|""|""|""|2026-02-28|OnHand|1159|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|112896|""|JOHNNIE WALKER RED LABEL 1750|""|""|""|2026-02-28|OnOrder|256|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|114694|""|CROWN ROYAL 1750|""|""|""|2026-02-28|OnHand|5373|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|115465|""|RON ZACAPA XO 750|""|""|""|2026-02-28|OnHand|12|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|119201|""|KETEL ONE VODKA ESPRESSO MARTINI 375|""|""|""|2026-02-28|OnHand|567|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|119202|""|BULLEIT OLD FASHIONED COCKTAIL 375|""|""|""|2026-02-28|OnHand|161|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|119202|""|BULLEIT OLD FASHIONED COCKTAIL 375|""|""|""|2026-02-28|OnOrder|105|""|""|""|""|""||CAD
